,count,mean,std,min,25%,50%,75%,max,session,area,binsize,n_units
0,39.0,0.4659427873713587,0.06350991920512027,0.3635204081632653,0.41985544217687076,0.46343537414965985,0.5027636054421769,0.5994897959183674,09_grating,Vp_exc,25,18816
0,9.0,0.46449829931972786,0.022834344237819756,0.4320790816326531,0.45068027210884354,0.4644982993197279,0.47087585034013607,0.5112670068027211,09_grating,Vp_exc,100,18816
0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10_warmup,Vp_exc,25,18816
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10_warmup,Vp_exc,100,18816
0,39.0,0.44784580498866217,0.04752878659377438,0.3656462585034014,0.4145408163265306,0.44855442176870747,0.47831632653061223,0.5548469387755102,11_noise,Vp_exc,25,18816
0,9.0,0.44749149659863957,0.01030201529282532,0.43154761904761907,0.4432397959183674,0.4458971088435374,0.4544005102040816,0.46130952380952384,11_noise,Vp_exc,100,18816
0,39.0,0.45122536193964774,0.07359915959068328,0.3167517006802721,0.4145408163265306,0.4379251700680272,0.5059523809523809,0.5867346938775511,12_grating,Vp_exc,25,18816
0,9.0,0.45097552910052907,0.026654201253066667,0.41985544217687076,0.4320790816326531,0.43579931972789115,0.46715561224489793,0.4937287414965986,12_grating,Vp_exc,100,18816
0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13_warmup,Vp_exc,25,18816
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13_warmup,Vp_exc,100,18816
0,39.0,0.45286063143205996,0.040454373650233535,0.3677721088435374,0.4326105442176871,0.4421768707482993,0.47512755102040816,0.5378401360544217,14_noise,Vp_exc,25,18816
0,9.0,0.45298327664399096,0.01682312052651405,0.43420493197278914,0.4416454081632653,0.44802295918367346,0.4575892857142857,0.4825680272108844,14_noise,Vp_exc,100,18816
0,39.0,0.45373277516134664,0.06583237844351354,0.33163265306122447,0.40922619047619047,0.44642857142857145,0.4889455782312925,0.6186224489795918,15_grating,Vp_exc,25,18816
0,9.0,0.4502078609221466,0.021250936094096052,0.4156037414965986,0.43633078231292516,0.4522746598639456,0.46184098639455784,0.4799107142857143,15_grating,Vp_exc,100,18816
0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16_warmup,Vp_exc,25,18816
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16_warmup,Vp_exc,100,18816
0,39.0,0.4537327751613465,0.0403375178304776,0.37202380952380953,0.4230442176870748,0.4528061224489796,0.48469387755102045,0.5250850340136054,17_noise,Vp_exc,25,18816
0,9.0,0.4549319727891156,0.015465013315212016,0.4326105442176871,0.4427083333333333,0.4544005102040816,0.46715561224489793,0.4804421768707483,17_noise,Vp_exc,100,18816
0,39.0,0.4581480027908599,0.07605027851893781,0.33163265306122447,0.4177295918367347,0.4528061224489796,0.4846938775510204,0.6675170068027211,18_grating,Vp_exc,25,18816
0,9.0,0.45918367346938777,0.02894886018579151,0.41294642857142855,0.4453656462585034,0.4650297619047619,0.4804421768707483,0.4921343537414966,18_grating,Vp_exc,100,18816
0,39.0,0.4542233560090703,0.05431128483310623,0.3358843537414966,0.42517006802721086,0.4570578231292517,0.4931972789115646,0.5612244897959183,20_noise,Vp_exc,25,18816
0,9.0,0.45445956160241874,0.01996249530416074,0.4336734693877551,0.44005102040816324,0.45068027210884354,0.4602465986394558,0.4926658163265306,20_noise,Vp_exc,100,18816
0,39.0,0.4518794697366125,0.08067152029603261,0.3039965986394558,0.38584183673469385,0.44642857142857145,0.5070153061224489,0.7206632653061225,21_grating,Vp_exc,25,18816
0,9.0,0.45451861300075586,0.023141179938183785,0.4182610544217687,0.43579931972789115,0.44855442176870747,0.47619047619047616,0.4825680272108844,21_grating,Vp_exc,100,18816
0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22_warmup,Vp_exc,25,18816
0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22_warmup,Vp_exc,100,18816
0,39.0,0.4486634397348682,0.051932864985791485,0.3550170068027211,0.4166666666666667,0.4421768707482993,0.4793792517006803,0.5676020408163265,23_noise,Vp_exc,25,18816
