,startTime,startSample,endTime,endSample,duration,halfSlopetoFirstPeakSample,halfSlopetoFirstPeakTime,halfSlopetoFirstPeak_Amp,halfSlopefromLastPeakSample,halfSlopefromLastPeakTime,halfSlopefromLastPeak_Amp,start_Amp,end_Amp,maxPeak_Amp,maxPeakSample,maxPeakTime,n_peaks,meanAmp,AmpUp_maxPeak,subnet,subnet_size,subnet_anchor,g_peak_GABA_B1a_Vp_PC_Vp_BC
15,12510.0,1049,12950.0,1093,440.0,1059,12610.0,-0.23828449853993905,1081,12830.0,-0.14629530028624854,-0.8238354350725995,-0.6398570385652185,0.3472664379927214,1069,12710.0,1,0.3472664379927214,1.1711018730653209,D,0.5,0.0,0.05
16,12950.0,1093,13470.0,1145,520.0,1104,13060.0,0.27623698038495903,1126,13280.0,0.31601866859629935,-0.6398570385652185,-0.5602936621425378,1.1923309993351365,1114,13160.0,1,1.1923309993351365,1.832188037900355,D,0.5,0.0,0.05
17,13470.0,1145,13950.0,1193,480.0,1158,13600.0,-0.24400350357611467,1184,13860.0,-0.3511184663260087,-0.5602936621425378,-0.7745235876423259,0.07228665499030855,1171,13730.0,1,0.07228665499030855,0.6325803171328463,D,0.5,0.0,0.05
18,13950.0,1193,14490.0,1247,540.0,1205,14070.0,0.3117515859539365,1229,14310.0,0.40314733399220803,-0.7745235876423259,-0.5917320915657829,1.398026759550199,1216,14180.0,1,1.398026759550199,2.1725503471925247,D,0.5,0.0,0.05
19,14690.0,1267,14960.0,1294,270.0,1276,14780.0,-0.4065955578586824,1288,14900.0,-0.21471446992145116,-0.8503720514512683,-0.4666098755768058,0.03718093573390348,1283,14850.0,1,0.03718093573390348,0.8875529871851717,D,0.5,0.0,0.05
20,14960.0,1294,15420.0,1340,460.0,1304,15060.0,0.5909765382802799,1324,15260.0,0.7137873292356197,-0.4666098755768058,-0.22098829366612568,1.6485629521373653,1314,15160.0,1,1.6485629521373653,2.1151728277141713,D,0.5,0.0,0.05
21,15880.0,1386,16510.0,1449,630.0,1399,16010.0,0.48946282952031317,1427,16290.0,0.6383037378404695,-1.3782076657418105,-1.080525849101498,2.357133324782437,1410,16120.0,1,2.357133324782437,3.7353409905242474,D,0.5,0.0,0.05
22,16750.0,1473,17670.0,1565,920.0,1496,16980.0,0.4359803301871492,1523,17250.0,0.6055027091183954,-1.1712432108995847,-0.8321984530370926,2.0432038712738834,1508,17100.0,1,2.0432038712738834,3.214447082173468,D,0.5,0.0,0.05
23,17670.0,1565,18050.0,1603,380.0,1577,17790.0,-0.250636138692235,1593,17950.0,0.15772508124375592,-0.8321984530370926,-0.015476013165110707,0.33092617565262256,1587,17890.0,1,0.33092617565262256,1.1631246286897152,D,0.5,0.0,0.05
24,18050.0,1603,18780.0,1676,730.0,1615,18170.0,0.1395023882377262,1658,18600.0,-0.2974677558965929,-0.015476013165110707,-0.889416301433749,0.2944807896405631,1629,18310.0,1,0.2944807896405631,0.30995680280567384,D,0.5,0.0,0.05
25,18780.0,1676,19500.0,1748,720.0,1688,18900.0,0.242902563072808,1735,19370.0,-0.32535981982084217,-0.889416301433749,-0.9116284112562634,1.375221427579365,1697,18990.0,2,0.818065099596972,2.264637729013114,D,0.5,0.0,0.05
26,19500.0,1748,20200.0,1818,700.0,1779,19810.0,0.4333514883268903,1802,20040.0,0.6017713768044733,-0.9116284112562634,-0.5747886343010972,1.7783313879100437,1791,19930.0,1,1.7783313879100437,2.6899597991663073,D,0.5,0.0,0.05
27,20610.0,1859,21330.0,1931,720.0,1871,20730.0,0.09805616782454063,1922,21240.0,0.16944752145075112,-1.1623498248848807,-0.1441337707205708,1.3584621605339617,1881,20830.0,2,0.9207454870780174,2.5208119854188427,D,0.5,0.0,0.05
28,21330.0,1931,21990.0,1997,660.0,1940,21420.0,0.09758703455620851,1971,21730.0,-0.38872220782166345,-0.1441337707205708,-1.1167522554763147,0.33930783983298785,1949,21510.0,1,0.33930783983298785,0.4834416105535586,D,0.5,0.0,0.05
29,21990.0,1997,22640.0,2062,650.0,2010,22120.0,-0.07219967239774716,2045,22470.0,-0.08980645616481908,-1.1167522554763147,-1.1519658230104586,0.9723529106808206,2024,22260.0,1,0.9723529106808206,2.089105166157135,D,0.5,0.0,0.05
30,22640.0,2062,23170.0,2115,530.0,2075,22770.0,0.2605975873050994,2098,23000.0,0.5450976089616283,-1.1519658230104586,-0.5829657796974005,1.6731609976206572,2086,22880.0,1,1.6731609976206572,2.825126820631116,D,0.5,0.0,0.05
31,23340.0,2132,24010.0,2199,670.0,2145,23470.0,0.030091452077599556,2170,23720.0,0.029645800891553997,-0.7675001704099657,-0.7683914727820566,0.8276830745651647,2155,23570.0,1,0.8276830745651647,1.5951832449751304,D,0.5,0.0,0.05
32,24010.0,2199,24530.0,2251,520.0,2214,24160.0,0.13122587362677762,2235,24370.0,0.3442242479403642,-0.7683914727820566,-0.3423947241548835,1.030843220035612,2225,24270.0,1,1.030843220035612,1.7992346928176683,D,0.5,0.0,0.05
33,24860.0,2284,25360.0,2334,500.0,2295,24970.0,0.29019377072438046,2316,25180.0,0.6829941639866748,-1.0434883839226219,-0.2578875973980333,1.6238759253713828,2305,25070.0,1,1.6238759253713828,2.6673643092940047,D,0.5,0.0,0.05
34,25610.0,2359,26110.0,2409,500.0,2369,25710.0,-0.16710930559421416,2397,25990.0,-0.23123100801373908,-0.45416476955350704,-0.5824081743925569,0.1199461583650787,2377,25790.0,1,0.1199461583650787,0.5741109279185858,D,0.5,0.0,0.05
35,26380.0,2436,26900.0,2488,520.0,2447,26490.0,0.5793473777251578,2468,26700.0,0.5554217887510775,-0.580134094569516,-0.6279852725176764,1.7388288500198317,2456,26580.0,1,1.7388288500198317,2.3189629445893476,D,0.5,0.0,0.05
36,26900.0,2488,27400.0,2538,500.0,2505,27070.0,-0.13986059101524428,2528,27300.0,-0.24586940369133903,-0.6279852725176764,-0.8400028978698659,0.3482640904871879,2517,27190.0,1,0.3482640904871879,0.9762493630048643,D,0.5,0.0,0.05
37,27400.0,2538,27790.0,2577,390.0,2547,27490.0,-0.14729322376482945,2564,27660.0,0.13956950792234518,-0.8400028978698659,-0.2662774344955167,0.545416450340207,2556,27580.0,1,0.545416450340207,1.385419348210073,D,0.5,0.0,0.05
38,28040.0,2602,28580.0,2656,540.0,2614,28160.0,0.3419482855961036,2637,28390.0,0.6431882381063843,-1.0046518625605911,-0.40217195754002955,1.6885484337527983,2624,28260.0,1,1.6885484337527983,2.6932002963133894,D,0.5,0.0,0.05
39,28580.0,2656,28980.0,2696,400.0,2665,28670.0,-0.1584229517473666,2686,28880.0,-0.20583076507530146,-0.40217195754002955,-0.4969875841958993,0.08532605404529638,2674,28760.0,1,0.08532605404529638,0.4874980115853259,D,0.5,0.0,0.05
40,28980.0,2696,29340.0,2732,360.0,2706,29080.0,-0.1490860292941294,2722,29240.0,-0.11124701339830934,-0.4969875841958993,-0.4213095524042592,0.19881552560764054,2714,29160.0,1,0.19881552560764054,0.6958031098035398,D,0.5,0.0,0.05
41,29690.0,2767,30250.0,2823,560.0,2779,29810.0,0.4693361224017718,2806,30080.0,0.879076434151958,-1.2771467282299163,-0.4576661047295435,2.2158189730334596,2790,29920.0,1,2.2158189730334596,3.492965701263376,D,0.5,0.0,0.05
42,30250.0,2823,30650.0,2863,400.0,2832,30340.0,-0.2091488414498033,2853,30550.0,-0.4428999170946066,-0.4576661047295435,-0.92516825601915,0.03936842182993687,2841,30430.0,1,0.03936842182993687,0.4970345265594804,D,0.5,0.0,0.05
43,30650.0,2863,31130.0,2911,480.0,2874,30760.0,-0.2969179473891794,2899,31010.0,-0.3964196792981314,-0.92516825601915,-1.1241717198370538,0.33133236124079113,2885,30870.0,1,0.33133236124079113,1.256500617259941,D,0.5,0.0,0.05
44,31130.0,2911,31690.0,2967,560.0,2922,31240.0,0.1451847801863244,2946,31480.0,0.5563246438038266,-1.1241717198370538,-0.30189199260204946,1.4145412802097026,2933,31350.0,1,1.4145412802097026,2.5387130000467564,D,0.5,0.0,0.05
0,2400.0,38,3050.0,103,650.0,50,2520.0,0.11321141519921718,82,2840.0,0.34927761487118936,-1.1386608751458465,-0.6665284758019023,1.3650837055442808,61,2630.0,1,1.3650837055442808,2.5037445806901273,D_bis,0.5,0.5,0.05
1,3050.0,103,3590.0,157,540.0,112,3140.0,-0.26530210676422133,148,3500.0,-0.2999017432925404,-0.6665284758019023,-0.6574470336658745,0.13592426227345966,121,3230.0,2,0.0967839046771267,0.802452738075362,D_bis,0.5,0.5,0.05
2,3940.0,192,5100.0,308,1160.0,203,4050.0,0.4087558010331811,233,4350.0,0.4408272103365368,-0.9445415582380565,-0.880398739631345,1.7620531603044185,214,4160.0,1,1.7620531603044185,2.7065947185424752,D_bis,0.5,0.5,0.05
3,5380.0,336,5940.0,392,560.0,347,5490.0,0.8127036445355553,372,5740.0,0.7221382440758728,-0.5329889512898422,-0.7141197522092073,2.1583962403609527,357,5590.0,1,2.1583962403609527,2.691385191650795,D_bis,0.5,0.5,0.05
4,6320.0,430,6660.0,464,340.0,438,6400.0,0.05751647452634391,455,6570.0,-0.14602275579915563,-0.07209655686127255,-0.4791750175122717,0.18712950591396038,446,6480.0,1,0.18712950591396038,0.2592260627752329,D_bis,0.5,0.5,0.05
5,6880.0,486,7310.0,529,430.0,496,6980.0,0.14210836737376917,515,7170.0,0.02131110481404591,-0.23242346433286523,-0.4740179894523117,0.5166401990804036,504,7060.0,1,0.5166401990804036,0.7490636634132688,D_bis,0.5,0.5,0.05
6,7310.0,529,7850.0,583,540.0,542,7440.0,0.11385781353518437,566,7680.0,-0.0417992747850674,-0.4740179894523117,-0.7853321660928151,0.7017336165226804,552,7540.0,1,0.7017336165226804,1.1757516059749922,D_bis,0.5,0.5,0.05
7,7850.0,583,8440.0,642,590.0,596,7980.0,0.2879662591431901,623,8250.0,0.2707102541961458,-0.7853321660928151,-0.8198441759869038,1.3612646843791953,608,8100.0,1,1.3612646843791953,2.1465968504720103,D_bis,0.5,0.5,0.05
8,8920.0,690,9570.0,755,650.0,703,9050.0,0.48565694568910867,729,9310.0,0.6756097685396653,-1.1181172790846607,-0.7382116333835477,2.0894311704628783,715,9170.0,1,2.0894311704628783,3.207548449547539,D_bis,0.5,0.5,0.05
9,9570.0,755,10000.0,798,430.0,767,9690.0,-0.2488772923839313,786,9880.0,-0.04277407751131923,-0.7382116333835477,-0.3260052036383235,0.24045704861568507,778,9800.0,1,0.24045704861568507,0.9786686819992327,D_bis,0.5,0.5,0.05
10,10220.0,820,10990.0,897,770.0,831,10330.0,0.2211453645118524,866,10680.0,0.1855659362092531,-0.9095110953606611,-0.9806699519658598,1.3518018243843661,841,10430.0,1,1.3518018243843661,2.261312919745027,D_bis,0.5,0.5,0.05
11,11210.0,919,11990.0,997,780.0,931,11330.0,0.22348242285302633,971,11730.0,0.20495882311945413,-1.1078621180430364,-1.1449093175101808,1.5548269637490888,943,11450.0,1,1.5548269637490888,2.6626890817921254,D_bis,0.5,0.5,0.05
12,11990.0,997,12480.0,1046,490.0,1009,12110.0,-0.07859131207696968,1033,12350.0,0.10514030615360603,-1.1449093175101808,-0.7774460810490291,0.9877266933562413,1020,12220.0,1,0.9877266933562413,2.132636010866422,D_bis,0.5,0.5,0.05
13,12480.0,1046,12930.0,1091,450.0,1055,12570.0,-0.15212240584116887,1075,12770.0,-0.1111837940489725,-0.7774460810490291,-0.6955688574646365,0.4732012693666914,1064,12660.0,1,0.4732012693666914,1.2506473504157205,D_bis,0.5,0.5,0.05
14,12930.0,1091,13810.0,1179,880.0,1119,13210.0,0.3864552368211439,1147,13490.0,0.417040733136226,-0.6955688574646365,-0.6343978648344721,1.4684793311069242,1130,13320.0,1,1.4684793311069242,2.164048188571561,D_bis,0.5,0.5,0.05
15,13960.0,1194,14530.0,1251,570.0,1209,14110.0,-0.0725532482456196,1241,14430.0,0.2791094936072333,-0.7561892915283314,-0.05286380782262563,0.6110827950370922,1233,14350.0,1,0.6110827950370922,1.3672720865654235,D_bis,0.5,0.5,0.05
16,14530.0,1251,15040.0,1302,510.0,1256,14580.0,0.017980407411474872,1289,14910.0,-0.2090225703289811,-0.05286380782262563,-0.4480456332126465,0.08882462264557538,1261,14630.0,2,0.059412557600129826,0.141688430468201,D_bis,0.5,0.5,0.05
17,15190.0,1317,15860.0,1384,670.0,1332,15340.0,0.17340026542971942,1366,15680.0,0.2040745378555503,-0.6561712255259606,-0.5948226806742989,1.0029717563853995,1352,15540.0,1,1.0029717563853995,1.6591429819113601,D_bis,0.5,0.5,0.05
18,15860.0,1384,16520.0,1450,660.0,1394,15960.0,-0.025940281675404187,1427,16290.0,-0.22512416888043796,-0.5948226806742989,-0.9931904550843662,0.5429421173234904,1404,16060.0,1,0.5429421173234904,1.1377647979977894,D_bis,0.5,0.5,0.05
19,16770.0,1475,17310.0,1529,540.0,1486,16880.0,0.6492597866500354,1512,17140.0,0.8920565793397348,-1.0146428897664803,-0.5290493043870814,2.313162463066551,1496,16980.0,1,2.313162463066551,3.3278053528330314,D_bis,0.5,0.5,0.05
20,17310.0,1529,17700.0,1568,390.0,1537,17390.0,-0.2095818331387062,1556,17580.0,-0.3685394820445684,-0.5290493043870814,-0.8469646021988058,0.10988563810966905,1545,17470.0,1,0.10988563810966905,0.6389349424967504,D_bis,0.5,0.5,0.05
21,17980.0,1596,18480.0,1646,500.0,1608,18100.0,0.05551122346481785,1634,18360.0,0.37141916205322334,-0.7605689707890038,-0.12875309361219292,0.8715914177186395,1621,18230.0,1,0.8715914177186395,1.6321603885076432,D_bis,0.5,0.5,0.05
22,18480.0,1646,18830.0,1681,350.0,1655,18570.0,0.20568510246000707,1671,18730.0,0.18479562958926343,-0.12875309361219292,-0.17053203935368022,0.5401232985322071,1663,18650.0,1,0.5401232985322071,0.6688763921444,D_bis,0.5,0.5,0.05
23,18830.0,1681,19150.0,1713,320.0,1687,18890.0,-0.038046921525851346,1701,19030.0,-0.2511515282180464,-0.17053203935368022,-0.5967412527380704,0.09443819630197753,1693,18950.0,1,0.09443819630197753,0.26497023565565775,D_bis,0.5,0.5,0.05
24,19150.0,1713,19580.0,1756,430.0,1731,19330.0,-0.108805553283092,1748,19500.0,0.028903878409622996,-0.5967412527380704,-0.3213223893526404,0.37913014617188645,1741,19430.0,1,0.37913014617188645,0.9758713989099569,D_bis,0.5,0.5,0.05
25,19580.0,1756,20170.0,1815,590.0,1766,19680.0,0.21594062646859596,1796,19980.0,-0.189792728204079,-0.3213223893526404,-1.1327890986979903,0.7532036422898324,1776,19780.0,1,0.7532036422898324,1.0745260316424727,D_bis,0.5,0.5,0.05
26,20170.0,1815,20670.0,1865,500.0,1827,20290.0,0.12480813462143647,1850,20520.0,0.4119956239929694,-1.1327890986979903,-0.5584141199549244,1.3824053679408632,1839,20410.0,1,1.3824053679408632,2.5151944666388535,D_bis,0.5,0.5,0.05
27,21230.0,1921,21780.0,1976,550.0,1931,21330.0,0.2664613390165884,1952,21540.0,0.32461256467511734,-0.34291375371639576,-0.22661130239933788,0.8758364317495727,1940,21420.0,1,0.8758364317495727,1.2187501854659684,D_bis,0.5,0.5,0.05
